iter	Passed	Remaining
563	53398	41279
564	53577	41249
565	53698	41175
566	53801	41086
567	53903	40997
568	54012	40913
569	54097	40810
570	54185	40710
571	54284	40618
572	54364	40512
573	54468	40424
574	54556	40324
575	54661	40236
576	54753	40139
577	54853	40048
578	54943	39950
579	55039	39856
580	55189	39800
581	55319	39731
582	55423	39642
583	55519	39548
584	55618	39455
585	55704	39354
586	55804	39262
587	55914	39178
588	55994	39072
589	56069	38963
590	56149	38858
591	56229	38753
592	56308	38647
593	56381	38536
594	56465	38434
595	56538	38325
596	56616	38218
597	56686	38107
598	56750	37991
599	56821	37880
600	56895	37772
601	56970	37664
602	57044	37556
603	57180	37489
604	57462	37517
605	57606	37453
606	57690	37351
607	57766	37244
608	57842	37137
609	57921	37031
610	58007	36931
611	58085	36825
612	58164	36720
613	58247	36618
614	58336	36519
615	58417	36416
616	58501	36314
617	58582	36211
618	58667	36110
619	58750	36008
620	58829	35904
621	58915	35803
622	58991	35697
623	59070	35593
624	59153	35492
625	59225	35383
626	59303	35279
627	59381	35175
628	59450	35065
629	59524	34958
630	59596	34851
631	59670	34744
632	59757	34646
633	59841	34545
634	59913	34438
635	60001	34340
636	60077	34235
637	60143	34125
638	60221	34021
639	60289	33912
640	60351	33800
641	60412	33688
642	60477	33577
643	60552	33473
644	60618	33363
645	60688	33256
646	60766	33153
647	60855	33057
648	60943	32960
649	61025	32859
650	61099	32755
651	61170	32649
652	61243	32544
653	61340	32452
654	61405	32343
655	61490	32245
656	61558	32137
657	61631	32033
658	61706	31930
659	61783	31827
660	61857	31724
661	61930	31620
662	62003	31515
663	62089	31418
664	62165	31316
665	62238	31212
666	62310	31108
667	62395	31011
668	62476	30911
669	62548	30807
670	62618	30702
671	62685	30596
672	62754	30491
673	62832	30390
674	62903	30286
675	62972	30181
676	63053	30083
677	63137	29985
678	63218	29886
679	63300	29788
680	63376	29687
681	63461	29590
682	63534	29488
683	63612	29388
684	63685	29286
685	63761	29185
686	63832	29082
687	63911	28983
688	63993	28885
689	64076	28788
690	64161	28691
691	64246	28595
692	64319	28493
693	64394	28392
694	64468	28292
695	64553	28195
696	64634	28098
697	64716	28000
698	64790	27899
699	64921	27823
700	65046	27744
701	65118	27642
